,latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B8A.tiff,B09.tiff,B11.tiff,B12.tiff,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
4808,-22.32294433296796,-52.66696992832095,0.0217,0.0224,0.0485,0.0187,0.0784,0.4751,0.6416,0.6393,0.6614,0.6577,0.2656,0.1208,46.54,5.14,15.57,7.57,2.49,1.9,35.08,9.12,96.16,82.85,39.39,1.16,2.18,91.96,3.28,997.66,12.86,0.14,-0.23,1.97,-0.66,-0.39,-0.59,-0.9,-0.03,-2.33,0.87,1.23,0.55,0.51,10.26
4828,-22.32294433296796,-52.66517249994214,0.0207,0.0228,0.0489,0.0178,0.0804,0.4761,0.6378,0.636,0.6647,0.6657,0.2653,0.1226,50.56,5.32,15.19,6.99,2.6,1.91,32.93,8.79,94.92,78.58,39.48,1.2,1.54,91.38,3.76,976.86,10.4,0.09,0.06,2.17,-0.74,-0.65,-0.32,-0.83,-0.24,-2.51,0.86,1.1,0.59,0.51,10.58
6969,-22.324686890516045,-52.67236221345738,0.0208,0.0227,0.049,0.0208,0.0828,0.4642,0.6206,0.6115,0.6441,0.6499,0.2582,0.1198,50.83,5.77,15.49,7.82,2.71,1.86,34.51,8.4,92.06,88.94,41.01,1.28,1.93,91.47,5.06,1250.48,16.39,0.2,0.01,2.45,-0.8,-0.33,-0.24,-1.04,-0.14,-3.03,0.68,1.42,0.64,0.38,11.16
6989,-22.324686890516045,-52.67056478507857,0.0215,0.0215,0.0493,0.0184,0.0783,0.4589,0.6111,0.6126,0.6383,0.634,0.2507,0.1158,46.89,5.05,14.44,7.1,2.49,1.88,27.17,7.97,97.42,96.72,42.43,1.91,1.72,100.7,4.28,1338.07,17.34,0.15,-0.07,2.12,-0.8,-0.55,-0.39,-0.89,-0.93,-2.97,1.09,1.92,0.87,0.6,13.2
7009,-22.324686890516045,-52.66876735669975,0.0226,0.0259,0.0548,0.0347,0.0915,0.4108,0.5255,0.5027,0.5509,0.5773,0.2454,0.126,44.61,5.17,13.53,7.93,2.64,1.99,30.27,8.19,98.43,99.4,43.64,1.7,2.1,96.22,3.86,1281.59,14.07,0.12,-0.32,2.17,-1.26,-0.23,-0.26,-0.78,-0.57,-2.98,0.99,1.89,0.86,0.5,12.81
7029,-22.324686890516045,-52.66696992832095,0.0205,0.0224,0.0483,0.0177,0.0728,0.4309,0.576,0.603,0.5988,0.6009,0.2293,0.1083,53.28,4.63,19.6,8.55,2.81,1.73,31.38,10.84,189.65,85.57,42.12,1.46,1.57,147.46,4.74,938.63,13.33,0.31,-0.17,1.08,-0.03,-0.46,-0.64,-2.31,-1.06,-2.05,4.06,1.05,0.41,0.12,13.44
7049,-22.324686890516045,-52.66517249994214,0.0188,0.0162,0.0377,0.0139,0.062,0.3764,0.5034,0.4729,0.5202,0.6288,0.2095,0.0913,39.1,5.76,19.06,7.35,2.76,1.85,27.14,7.93,88.58,70.83,35.6,1.52,1.27,92.19,3.76,1054.46,34.88,0.19,-0.58,2.49,0.4,-0.33,0.11,-0.8,-0.88,-3.06,0.74,0.9,0.44,0.57,11.3
8866,-22.326512403653776,-52.67056478507857,0.0206,0.0222,0.049,0.0204,0.0808,0.4499,0.6014,0.596,0.6239,0.6297,0.2486,0.1167,50.39,5.28,16.66,7.63,2.58,1.73,29.61,7.95,97.99,95.02,37.99,1.26,2.08,110.37,4.2,1148.74,22.26,0.15,0.07,2.17,-0.26,-0.33,-0.36,-1.29,-0.67,-3.19,1.08,1.77,0.54,0.48,12.21
8886,-22.326512403653776,-52.66876735669975,0.0205,0.0232,0.0502,0.0194,0.0803,0.4661,0.6266,0.627,0.6512,0.6563,0.2616,0.1237,37.79,5.51,18.51,7.6,2.54,1.67,30.08,8.09,90.34,81.05,37.82,1.26,1.9,102.5,4.84,1087.78,20.05,0.14,-0.72,2.32,0.28,-0.22,-0.3,-1.28,-0.49,-2.93,0.85,1.32,0.59,0.58,11.88
8906,-22.326512403653776,-52.66696992832095,0.0212,0.0231,0.0525,0.0202,0.083,0.4797,0.6394,0.6405,0.667,0.6703,0.2724,0.1294,43.57,5.99,16.34,6.97,2.75,1.97,30.04,7.65,96.5,72.3,42.36,2.1,1.54,90.4,3.84,1189.08,32.16,0.07,-0.33,2.73,-0.38,-0.6,0.05,-0.68,-0.55,-3.43,0.96,0.91,0.82,0.5,11.94
